Werte_Zuers:;;monat;HS_m;h_year
28.12.1982;56;12;0.56;1983
29.12.1982;80;12;0.8;1983
30.12.1982;73;12;0.73;1983
31.12.1982;65;12;0.65;1983
01.01.1983;61;1;0.61;1983
02.01.1983;59;1;0.59;1983
03.01.1983;61;1;0.61;1983
04.01.1983;61;1;0.61;1983
05.01.1983;70;1;0.7;1983
06.01.1983;65;1;0.65;1983
07.01.1983;65;1;0.65;1983
08.01.1983;66;1;0.66;1983
09.01.1983;70;1;0.7;1983
10.01.1983;67;1;0.67;1983
11.01.1983;65;1;0.65;1983
12.01.1983;63;1;0.63;1983
13.01.1983;62;1;0.62;1983
14.01.1983;77;1;0.77;1983
15.01.1983;101;1;1.01;1983
16.01.1983;137;1;1.37;1983
17.01.1983;155;1;1.55;1983
18.01.1983;143;1;1.43;1983
19.01.1983;140;1;1.4;1983
20.01.1983;170;1;1.7;1983
21.01.1983;168;1;1.68;1983
22.01.1983;163;1;1.63;1983
23.01.1983;150;1;1.5;1983
24.01.1983;143;1;1.43;1983
25.01.1983;139;1;1.39;1983
26.01.1983;134;1;1.34;1983
27.01.1983;124;1;1.24;1983
28.01.1983;115;1;1.15;1983
29.01.1983;115;1;1.15;1983
30.01.1983;115;1;1.15;1983
31.01.1983;134;1;1.34;1983
01.02.1983;152;2;1.52;1983
02.02.1983;155;2;1.55;1983
03.02.1983;158;2;1.58;1983
04.02.1983;168;2;1.68;1983
05.02.1983;159;2;1.59;1983
06.02.1983;190;2;1.9;1983
07.02.1983;190;2;1.9;1983
08.02.1983;180;2;1.8;1983
09.02.1983;175;2;1.75;1983
10.02.1983;170;2;1.7;1983
11.02.1983;167;2;1.67;1983
12.02.1983;163;2;1.63;1983
13.02.1983;160;2;1.6;1983
14.02.1983;155;2;1.55;1983
15.02.1983;153;2;1.53;1983
16.02.1983;152;2;1.52;1983
17.02.1983;152;2;1.52;1983
18.02.1983;151;2;1.51;1983
19.02.1983;151;2;1.51;1983
20.02.1983;149;2;1.49;1983
21.02.1983;149;2;1.49;1983
22.02.1983;149;2;1.49;1983
23.02.1983;149;2;1.49;1983
24.02.1983;149;2;1.49;1983
25.02.1983;148;2;1.48;1983
26.02.1983;152;2;1.52;1983
27.02.1983;158;2;1.58;1983
28.02.1983;168;2;1.68;1983
01.03.1983;188;3;1.88;1983
02.03.1983;187;3;1.87;1983
03.03.1983;182;3;1.82;1983
04.03.1983;178;3;1.78;1983
05.03.1983;175;3;1.75;1983
06.03.1983;172;3;1.72;1983
07.03.1983;167;3;1.67;1983
08.03.1983;163;3;1.63;1983
09.03.1983;160;3;1.6;1983
10.03.1983;157;3;1.57;1983
11.03.1983;154;3;1.54;1983
12.03.1983;152;3;1.52;1983
13.03.1983;150;3;1.5;1983
14.03.1983;146;3;1.46;1983
15.03.1983;143;3;1.43;1983
16.03.1983;140;3;1.4;1983
17.03.1983;138;3;1.38;1983
18.03.1983;135;3;1.35;1983
19.03.1983;139;3;1.39;1983
20.03.1983;150;3;1.5;1983
21.03.1983;137;3;1.37;1983
22.03.1983;133;3;1.33;1983
23.03.1983;138;3;1.38;1983
24.03.1983;135;3;1.35;1983
25.03.1983;138;3;1.38;1983
26.03.1983;150;3;1.5;1983
27.03.1983;190;3;1.9;1983
28.03.1983;170;3;1.7;1983
29.03.1983;168;3;1.68;1983
30.03.1983;167;3;1.67;1983
31.03.1983;160;3;1.6;1983
01.04.1983;153;4;1.53;1983
02.04.1983;148;4;1.48;1983
03.04.1983;159;4;1.59;1983
04.04.1983;165;4;1.65;1983
05.04.1983;167;4;1.67;1983
06.04.1983;166;4;1.66;1983
07.04.1983;177;4;1.77;1983
08.04.1983;169;4;1.69;1983
09.04.1983;152;4;1.52;1983
10.04.1983;142;4;1.42;1983
11.04.1983;139;4;1.39;1983
12.04.1983;162;4;1.62;1983
13.04.1983;178;4;1.78;1983
14.04.1983;179;4;1.79;1983
15.04.1983;183;4;1.83;1983
16.04.1983;185;4;1.85;1983
17.04.1983;167;4;1.67;1983
18.04.1983;157;4;1.57;1983
19.04.1983;145;4;1.45;1983
20.04.1983;140;4;1.4;1983
21.04.1983;134;4;1.34;1983
22.04.1983;123;4;1.23;1983
23.04.1983;118;4;1.18;1983
24.04.1983;114;4;1.14;1983
25.04.1983;107;4;1.07;1983
26.04.1983;100;4;1;1983
27.04.1983;94;4;0.94;1983
28.04.1983;90;4;0.9;1983
29.04.1983;85;4;0.85;1983
30.04.1983;80;4;0.8;1983
01.05.1983;76;5;0.76;1983
02.05.1983;85;5;0.85;1983
03.05.1983;78;5;0.78;1983
04.05.1983;77;5;0.77;1983
05.05.1983;76;5;0.76;1983
06.05.1983;72;5;0.72;1983
07.05.1983;68;5;0.68;1983
08.05.1983;60;5;0.6;1983
09.05.1983;73;5;0.73;1983
10.05.1983;63;5;0.63;1983
11.05.1983;72;5;0.72;1983
12.05.1983;63;5;0.63;1983
13.05.1983;60;5;0.6;1983
14.05.1983;55;5;0.55;1983
15.05.1983;50;5;0.5;1983
16.05.1983;45;5;0.45;1983
17.05.1983;40;5;0.4;1983
18.05.1983;38;5;0.38;1983
19.05.1983;35;5;0.35;1983
20.05.1983;30;5;0.3;1983
21.05.1983;25;5;0.25;1983
22.05.1983;20;5;0.2;1983
23.05.1983;50;5;0.5;1983
24.05.1983;50;5;0.5;1983
25.05.1983;45;5;0.45;1983
26.05.1983;40;5;0.4;1983
27.05.1983;35;5;0.35;1983
28.05.1983;30;5;0.3;1983
29.05.1983;20;5;0.2;1983
30.05.1983;10;5;0.1;1983
31.05.1983;0;5;0;1983
01.06.1983;0;6;0;1983
02.06.1983;0;6;0;1983
03.06.1983;0;6;0;1983
04.06.1983;0;6;0;1983
05.06.1983;0;6;0;1983
06.06.1983;0;6;0;1983
07.06.1983;0;6;0;1983
08.06.1983;0;6;0;1983
09.06.1983;0;6;0;1983
10.06.1983;0;6;0;1983
11.06.1983;0;6;0;1983
12.06.1983;0;6;0;1983
13.06.1983;0;6;0;1983
14.06.1983;0;6;0;1983
15.06.1983;0;6;0;1983
16.06.1983;5;6;0.05;1983
17.06.1983;0;6;0;1983
18.06.1983;0;6;0;1983
19.06.1983;0;6;0;1983
20.06.1983;0;6;0;1983
21.06.1983;0;6;0;1983
22.06.1983;0;6;0;1983
23.06.1983;0;6;0;1983
24.06.1983;0;6;0;1983
25.06.1983;0;6;0;1983
26.06.1983;0;6;0;1983
27.06.1983;0;6;0;1983
28.06.1983;0;6;0;1983
29.06.1983;0;6;0;1983
30.06.1983;0;6;0;1983
01.07.1983;0;7;0;1983
02.07.1983;0;7;0;1983
03.07.1983;0;7;0;1983
04.07.1983;0;7;0;1983
05.07.1983;0;7;0;1983
06.07.1983;0;7;0;1983
07.07.1983;0;7;0;1983
08.07.1983;0;7;0;1983
09.07.1983;0;7;0;1983
10.07.1983;0;7;0;1983
11.07.1983;0;7;0;1983
12.07.1983;0;7;0;1983
13.07.1983;0;7;0;1983
14.07.1983;0;7;0;1983
15.07.1983;0;7;0;1983
16.07.1983;0;7;0;1983
17.07.1983;0;7;0;1983
18.07.1983;0;7;0;1983
19.07.1983;0;7;0;1983
20.07.1983;0;7;0;1983
21.07.1983;0;7;0;1983
22.07.1983;0;7;0;1983
23.07.1983;0;7;0;1983
24.07.1983;0;7;0;1983
25.07.1983;0;7;0;1983
26.07.1983;0;7;0;1983
27.07.1983;0;7;0;1983
28.07.1983;0;7;0;1983
29.07.1983;0;7;0;1983
30.07.1983;0;7;0;1983
31.07.1983;0;7;0;1983
01.08.1983;0;8;0;1983
02.08.1983;0;8;0;1983
03.08.1983;0;8;0;1983
04.08.1983;10;8;0.1;1983
05.08.1983;0;8;0;1983
06.08.1983;0;8;0;1983
07.08.1983;0;8;0;1983
08.08.1983;0;8;0;1983
09.08.1983;0;8;0;1983
10.08.1983;0;8;0;1983
11.08.1983;0;8;0;1983
12.08.1983;0;8;0;1983
13.08.1983;0;8;0;1983
14.08.1983;0;8;0;1983
15.08.1983;0;8;0;1983
16.08.1983;0;8;0;1983
17.08.1983;0;8;0;1983
18.08.1983;0;8;0;1983
19.08.1983;0;8;0;1983
20.08.1983;0;8;0;1983
21.08.1983;0;8;0;1983
22.08.1983;0;8;0;1983
23.08.1983;0;8;0;1983
24.08.1983;0;8;0;1983
25.08.1983;0;8;0;1983
26.08.1983;0;8;0;1983
27.08.1983;0;8;0;1983
28.08.1983;0;8;0;1983
29.08.1983;0;8;0;1983
30.08.1983;0;8;0;1983
31.08.1983;0;8;0;1983
01.09.1983;0;9;0;1983
02.09.1983;0;9;0;1983
03.09.1983;0;9;0;1983
04.09.1983;0;9;0;1983
05.09.1983;0;9;0;1983
06.09.1983;0;9;0;1983
07.09.1983;0;9;0;1983
08.09.1983;0;9;0;1983
09.09.1983;0;9;0;1983
10.09.1983;0;9;0;1983
11.09.1983;10;9;0.1;1983
12.09.1983;0;9;0;1983
13.09.1983;0;9;0;1983
14.09.1983;0;9;0;1983
15.09.1983;0;9;0;1983
16.09.1983;0;9;0;1983
17.09.1983;0;9;0;1983
18.09.1983;0;9;0;1983
19.09.1983;0;9;0;1983
20.09.1983;0;9;0;1983
21.09.1983;0;9;0;1983
22.09.1983;0;9;0;1983
23.09.1983;0;9;0;1983
24.09.1983;0;9;0;1983
25.09.1983;0;9;0;1983
26.09.1983;0;9;0;1983
27.09.1983;0;9;0;1983
28.09.1983;0;9;0;1983
29.09.1983;0;9;0;1983
30.09.1983;0;9;0;1983
01.10.1983;0;10;0;1984
02.10.1983;0;10;0;1984
03.10.1983;0;10;0;1984
04.10.1983;0;10;0;1984
05.10.1983;0;10;0;1984
06.10.1983;0;10;0;1984
07.10.1983;0;10;0;1984
08.10.1983;0;10;0;1984
09.10.1983;0;10;0;1984
10.10.1983;0;10;0;1984
11.10.1983;0;10;0;1984
12.10.1983;20;10;0.2;1984
13.10.1983;0;10;0;1984
14.10.1983;0;10;0;1984
15.10.1983;0;10;0;1984
16.10.1983;0;10;0;1984
17.10.1983;16;10;0.16;1984
18.10.1983;17;10;0.17;1984
19.10.1983;0;10;0;1984
20.10.1983;0;10;0;1984
21.10.1983;0;10;0;1984
22.10.1983;0;10;0;1984
23.10.1983;0;10;0;1984
24.10.1983;0;10;0;1984
25.10.1983;0;10;0;1984
26.10.1983;0;10;0;1984
27.10.1983;0;10;0;1984
28.10.1983;0;10;0;1984
29.10.1983;0;10;0;1984
30.10.1983;0;10;0;1984
31.10.1983;0;10;0;1984
01.11.1983;0;11;0;1984
02.11.1983;0;11;0;1984
03.11.1983;0;11;0;1984
04.11.1983;0;11;0;1984
05.11.1983;0;11;0;1984
06.11.1983;0;11;0;1984
07.11.1983;0;11;0;1984
08.11.1983;0;11;0;1984
09.11.1983;0;11;0;1984
10.11.1983;0;11;0;1984
11.11.1983;0;11;0;1984
12.11.1983;0;11;0;1984
13.11.1983;0;11;0;1984
14.11.1983;0;11;0;1984
15.11.1983;0;11;0;1984
16.11.1983;0;11;0;1984
17.11.1983;0;11;0;1984
18.11.1983;0;11;0;1984
19.11.1983;0;11;0;1984
20.11.1983;0;11;0;1984
21.11.1983;0;11;0;1984
22.11.1983;0;11;0;1984
23.11.1983;0;11;0;1984
24.11.1983;0;11;0;1984
25.11.1983;1;11;0.01;1984
26.11.1983;0;11;0;1984
27.11.1983;0;11;0;1984
28.11.1983;55;11;0.55;1984
29.11.1983;85;11;0.85;1984
30.11.1983;83;11;0.83;1984
01.12.1983;97;12;0.97;1984
02.12.1983;86;12;0.86;1984
03.12.1983;78;12;0.78;1984
04.12.1983;76;12;0.76;1984
05.12.1983;70;12;0.7;1984
06.12.1983;68;12;0.68;1984
07.12.1983;78;12;0.78;1984
08.12.1983;81;12;0.81;1984
09.12.1983;72;12;0.72;1984
10.12.1983;67;12;0.67;1984
11.12.1983;80;12;0.8;1984
12.12.1983;77;12;0.77;1984
13.12.1983;73;12;0.73;1984
14.12.1983;70;12;0.7;1984
15.12.1983;68;12;0.68;1984
16.12.1983;67;12;0.67;1984
17.12.1983;58;12;0.58;1984
18.12.1983;57;12;0.57;1984
19.12.1983;52;12;0.52;1984
20.12.1983;57;12;0.57;1984
21.12.1983;52;12;0.52;1984
22.12.1983;62;12;0.62;1984
23.12.1983;68;12;0.68;1984
24.12.1983;60;12;0.6;1984
25.12.1983;53;12;0.53;1984
26.12.1983;52;12;0.52;1984
27.12.1983;85;12;0.85;1984
28.12.1983;77;12;0.77;1984
29.12.1983;73;12;0.73;1984
30.12.1983;71;12;0.71;1984
31.12.1983;69;12;0.69;1984
01.01.1984;68;1;0.68;1984
02.01.1984;67;1;0.67;1984
03.01.1984;67;1;0.67;1984
04.01.1984;77;1;0.77;1984
05.01.1984;100;1;1;1984
06.01.1984;98;1;0.98;1984
07.01.1984;95;1;0.95;1984
08.01.1984;98;1;0.98;1984
09.01.1984;93;1;0.93;1984
10.01.1984;110;1;1.1;1984
11.01.1984;105;1;1.05;1984
12.01.1984;101;1;1.01;1984
13.01.1984;105;1;1.05;1984
14.01.1984;108;1;1.08;1984
15.01.1984;101;1;1.01;1984
16.01.1984;126;1;1.26;1984
17.01.1984;120;1;1.2;1984
18.01.1984;136;1;1.36;1984
19.01.1984;128;1;1.28;1984
20.01.1984;128;1;1.28;1984
21.01.1984;130;1;1.3;1984
22.01.1984;128;1;1.28;1984
23.01.1984;140;1;1.4;1984
24.01.1984;143;1;1.43;1984
25.01.1984;162;1;1.62;1984
26.01.1984;160;1;1.6;1984
27.01.1984;150;1;1.5;1984
28.01.1984;147;1;1.47;1984
29.01.1984;152;1;1.52;1984
30.01.1984;145;1;1.45;1984
31.01.1984;145;1;1.45;1984
01.02.1984;145;2;1.45;1984
02.02.1984;140;2;1.4;1984
03.02.1984;141;2;1.41;1984
04.02.1984;148;2;1.48;1984
05.02.1984;147;2;1.47;1984
06.02.1984;153;2;1.53;1984
07.02.1984;195;2;1.95;1984
08.02.1984;220;2;2.2;1984
09.02.1984;250;2;2.5;1984
10.02.1984;320;2;3.2;1984
11.02.1984;280;2;2.8;1984
12.02.1984;278;2;2.78;1984
13.02.1984;260;2;2.6;1984
14.02.1984;248;2;2.48;1984
15.02.1984;240;2;2.4;1984
16.02.1984;232;2;2.32;1984
17.02.1984;228;2;2.28;1984
18.02.1984;222;2;2.22;1984
19.02.1984;218;2;2.18;1984
20.02.1984;215;2;2.15;1984
21.02.1984;212;2;2.12;1984
22.02.1984;208;2;2.08;1984
23.02.1984;207;2;2.07;1984
24.02.1984;210;2;2.1;1984
25.02.1984;208;2;2.08;1984
26.02.1984;201;2;2.01;1984
27.02.1984;202;2;2.02;1984
28.02.1984;200;2;2;1984
29.02.1984;198;2;1.98;1984
01.03.1984;196;3;1.96;1984
02.03.1984;190;3;1.9;1984
03.03.1984;197;3;1.97;1984
04.03.1984;197;3;1.97;1984
05.03.1984;193;3;1.93;1984
06.03.1984;191;3;1.91;1984
07.03.1984;190;3;1.9;1984
08.03.1984;198;3;1.98;1984
09.03.1984;197;3;1.97;1984
10.03.1984;193;3;1.93;1984
11.03.1984;192;3;1.92;1984
12.03.1984;191;3;1.91;1984
13.03.1984;190;3;1.9;1984
14.03.1984;190;3;1.9;1984
15.03.1984;186;3;1.86;1984
16.03.1984;186;3;1.86;1984
17.03.1984;185;3;1.85;1984
18.03.1984;184;3;1.84;1984
19.03.1984;184;3;1.84;1984
20.03.1984;183;3;1.83;1984
21.03.1984;182;3;1.82;1984
22.03.1984;181;3;1.81;1984
23.03.1984;180;3;1.8;1984
24.03.1984;180;3;1.8;1984
25.03.1984;179;3;1.79;1984
26.03.1984;189;3;1.89;1984
27.03.1984;190;3;1.9;1984
28.03.1984;183;3;1.83;1984
29.03.1984;181;3;1.81;1984
30.03.1984;210;3;2.1;1984
31.03.1984;215;3;2.15;1984
01.04.1984;205;4;2.05;1984
02.04.1984;198;4;1.98;1984
03.04.1984;218;4;2.18;1984
04.04.1984;217;4;2.17;1984
05.04.1984;209;4;2.09;1984
06.04.1984;212;4;2.12;1984
07.04.1984;210;4;2.1;1984
08.04.1984;205;4;2.05;1984
09.04.1984;208;4;2.08;1984
10.04.1984;200;4;2;1984
11.04.1984;218;4;2.18;1984
12.04.1984;212;4;2.12;1984
13.04.1984;208;4;2.08;1984
14.04.1984;198;4;1.98;1984
15.04.1984;192;4;1.92;1984
16.04.1984;186;4;1.86;1984
17.04.1984;196;4;1.96;1984
18.04.1984;193;4;1.93;1984
19.04.1984;190;4;1.9;1984
20.04.1984;185;4;1.85;1984
21.04.1984;183;4;1.83;1984
22.04.1984;179;4;1.79;1984
23.04.1984;175;4;1.75;1984
24.04.1984;172;4;1.72;1984
25.04.1984;168;4;1.68;1984
26.04.1984;163;4;1.63;1984
27.04.1984;158;4;1.58;1984
28.04.1984;155;4;1.55;1984
29.04.1984;152;4;1.52;1984
30.04.1984;151;4;1.51;1984
01.05.1984;152;5;1.52;1984
02.05.1984;148;5;1.48;1984
03.05.1984;139;5;1.39;1984
04.05.1984;132;5;1.32;1984
05.05.1984;125;5;1.25;1984
06.05.1984;120;5;1.2;1984
07.05.1984;115;5;1.15;1984
08.05.1984;112;5;1.12;1984
09.05.1984;112;5;1.12;1984
10.05.1984;108;5;1.08;1984
11.05.1984;106;5;1.06;1984
12.05.1984;104;5;1.04;1984
13.05.1984;102;5;1.02;1984
14.05.1984;98;5;0.98;1984
15.05.1984;95;5;0.95;1984
16.05.1984;91;5;0.91;1984
17.05.1984;86;5;0.86;1984
18.05.1984;81;5;0.81;1984
19.05.1984;73;5;0.73;1984
20.05.1984;66;5;0.66;1984
21.05.1984;63;5;0.63;1984
22.05.1984;60;5;0.6;1984
23.05.1984;56;5;0.56;1984
24.05.1984;59;5;0.59;1984
25.05.1984;52;5;0.52;1984
26.05.1984;46;5;0.46;1984
27.05.1984;39;5;0.39;1984
28.05.1984;45;5;0.45;1984
29.05.1984;47;5;0.47;1984
30.05.1984;42;5;0.42;1984
31.05.1984;35;5;0.35;1984
01.06.1984;28;6;0.28;1984
02.06.1984;22;6;0.22;1984
03.06.1984;14;6;0.14;1984
04.06.1984;0;6;0;1984
05.06.1984;0;6;0;1984
06.06.1984;6;6;0.06;1984
07.06.1984;0;6;0;1984
08.06.1984;0;6;0;1984
09.06.1984;0;6;0;1984
10.06.1984;0;6;0;1984
11.06.1984;0;6;0;1984
12.06.1984;0;6;0;1984
13.06.1984;0;6;0;1984
14.06.1984;0;6;0;1984
15.06.1984;0;6;0;1984
16.06.1984;0;6;0;1984
17.06.1984;0;6;0;1984
18.06.1984;0;6;0;1984
19.06.1984;0;6;0;1984
20.06.1984;0;6;0;1984
21.06.1984;0;6;0;1984
22.06.1984;0;6;0;1984
23.06.1984;0;6;0;1984
24.06.1984;0;6;0;1984
25.06.1984;0;6;0;1984
26.06.1984;0;6;0;1984
27.06.1984;0;6;0;1984
28.06.1984;0;6;0;1984
29.06.1984;0;6;0;1984
30.06.1984;0;6;0;1984
01.07.1984;0;7;0;1984
02.07.1984;0;7;0;1984
03.07.1984;0;7;0;1984
04.07.1984;0;7;0;1984
05.07.1984;0;7;0;1984
06.07.1984;0;7;0;1984
07.07.1984;0;7;0;1984
08.07.1984;0;7;0;1984
09.07.1984;0;7;0;1984
10.07.1984;0;7;0;1984
11.07.1984;0;7;0;1984
12.07.1984;0;7;0;1984
13.07.1984;0;7;0;1984
14.07.1984;0;7;0;1984
15.07.1984;0;7;0;1984
16.07.1984;0;7;0;1984
17.07.1984;0;7;0;1984
18.07.1984;0;7;0;1984
19.07.1984;0;7;0;1984
20.07.1984;0;7;0;1984
21.07.1984;0;7;0;1984
22.07.1984;0;7;0;1984
23.07.1984;0;7;0;1984
24.07.1984;0;7;0;1984
25.07.1984;0;7;0;1984
26.07.1984;0;7;0;1984
27.07.1984;0;7;0;1984
28.07.1984;0;7;0;1984
29.07.1984;0;7;0;1984
30.07.1984;0;7;0;1984
31.07.1984;0;7;0;1984
01.08.1984;0;8;0;1984
02.08.1984;0;8;0;1984
03.08.1984;0;8;0;1984
04.08.1984;0;8;0;1984
05.08.1984;0;8;0;1984
06.08.1984;0;8;0;1984
07.08.1984;0;8;0;1984
08.08.1984;0;8;0;1984
09.08.1984;0;8;0;1984
10.08.1984;0;8;0;1984
11.08.1984;0;8;0;1984
12.08.1984;0;8;0;1984
13.08.1984;0;8;0;1984
14.08.1984;0;8;0;1984
15.08.1984;0;8;0;1984
16.08.1984;0;8;0;1984
17.08.1984;0;8;0;1984
18.08.1984;0;8;0;1984
19.08.1984;0;8;0;1984
20.08.1984;0;8;0;1984
21.08.1984;0;8;0;1984
22.08.1984;0;8;0;1984
23.08.1984;0;8;0;1984
24.08.1984;0;8;0;1984
25.08.1984;0;8;0;1984
26.08.1984;0;8;0;1984
27.08.1984;0;8;0;1984
28.08.1984;0;8;0;1984
29.08.1984;0;8;0;1984
30.08.1984;0;8;0;1984
31.08.1984;0;8;0;1984
01.09.1984;0;9;0;1984
02.09.1984;0;9;0;1984
03.09.1984;0;9;0;1984
04.09.1984;0;9;0;1984
05.09.1984;0;9;0;1984
06.09.1984;26;9;0.26;1984
07.09.1984;15;9;0.15;1984
08.09.1984;10;9;0.1;1984
09.09.1984;8;9;0.08;1984
10.09.1984;0;9;0;1984
11.09.1984;0;9;0;1984
12.09.1984;0;9;0;1984
13.09.1984;0;9;0;1984
14.09.1984;0;9;0;1984
15.09.1984;0;9;0;1984
16.09.1984;0;9;0;1984
17.09.1984;5;9;0.05;1984
18.09.1984;0;9;0;1984
19.09.1984;0;9;0;1984
20.09.1984;0;9;0;1984
21.09.1984;0;9;0;1984
22.09.1984;5;9;0.05;1984
23.09.1984;0;9;0;1984
24.09.1984;10;9;0.1;1984
25.09.1984;5;9;0.05;1984
26.09.1984;12;9;0.12;1984
27.09.1984;8;9;0.08;1984
28.09.1984;0;9;0;1984
29.09.1984;0;9;0;1984
30.09.1984;0;9;0;1984
01.10.1984;0;10;0;1985
02.10.1984;5;10;0.05;1985
03.10.1984;5;10;0.05;1985
04.10.1984;0;10;0;1985
05.10.1984;0;10;0;1985
06.10.1984;0;10;0;1985
07.10.1984;0;10;0;1985
08.10.1984;0;10;0;1985
09.10.1984;0;10;0;1985
10.10.1984;0;10;0;1985
11.10.1984;0;10;0;1985
12.10.1984;0;10;0;1985
13.10.1984;0;10;0;1985
14.10.1984;0;10;0;1985
15.10.1984;0;10;0;1985
16.10.1984;0;10;0;1985
17.10.1984;0;10;0;1985
18.10.1984;0;10;0;1985
19.10.1984;0;10;0;1985
20.10.1984;0;10;0;1985
21.10.1984;0;10;0;1985
22.10.1984;0;10;0;1985
23.10.1984;0;10;0;1985
24.10.1984;0;10;0;1985
25.10.1984;0;10;0;1985
26.10.1984;0;10;0;1985
27.10.1984;0;10;0;1985
28.10.1984;0;10;0;1985
29.10.1984;0;10;0;1985
30.10.1984;0;10;0;1985
31.10.1984;0;10;0;1985
01.11.1984;0;11;0;1985
02.11.1984;0;11;0;1985
03.11.1984;0;11;0;1985
04.11.1984;0;11;0;1985
05.11.1984;0;11;0;1985
06.11.1984;0;11;0;1985
07.11.1984;0;11;0;1985
08.11.1984;0;11;0;1985
09.11.1984;0;11;0;1985
10.11.1984;0;11;0;1985
11.11.1984;0;11;0;1985
12.11.1984;0;11;0;1985
13.11.1984;0;11;0;1985
14.11.1984;0;11;0;1985
15.11.1984;0;11;0;1985
16.11.1984;0;11;0;1985
17.11.1984;15;11;0.15;1985
18.11.1984;10;11;0.1;1985
19.11.1984;10;11;0.1;1985
20.11.1984;18;11;0.18;1985
21.11.1984;30;11;0.3;1985
22.11.1984;35;11;0.35;1985
23.11.1984;20;11;0.2;1985
24.11.1984;10;11;0.1;1985
25.11.1984;5;11;0.05;1985
26.11.1984;5;11;0.05;1985
27.11.1984;17;11;0.17;1985
28.11.1984;15;11;0.15;1985
29.11.1984;14;11;0.14;1985
30.11.1984;13;11;0.13;1985
01.12.1984;11;12;0.11;1985
02.12.1984;10;12;0.1;1985
03.12.1984;10;12;0.1;1985
04.12.1984;10;12;0.1;1985
05.12.1984;10;12;0.1;1985
06.12.1984;10;12;0.1;1985
07.12.1984;10;12;0.1;1985
08.12.1984;10;12;0.1;1985
09.12.1984;10;12;0.1;1985
10.12.1984;16;12;0.16;1985
11.12.1984;12;12;0.12;1985
12.12.1984;10;12;0.1;1985
13.12.1984;10;12;0.1;1985
14.12.1984;11;12;0.11;1985
15.12.1984;32;12;0.32;1985
16.12.1984;27;12;0.27;1985
17.12.1984;43;12;0.43;1985
18.12.1984;48;12;0.48;1985
19.12.1984;58;12;0.58;1985
20.12.1984;52;12;0.52;1985
21.12.1984;50;12;0.5;1985
22.12.1984;51;12;0.51;1985
23.12.1984;49;12;0.49;1985
24.12.1984;46;12;0.46;1985
25.12.1984;45;12;0.45;1985
26.12.1984;53;12;0.53;1985
27.12.1984;50;12;0.5;1985
28.12.1984;48;12;0.48;1985
29.12.1984;47;12;0.47;1985
30.12.1984;49;12;0.49;1985
31.12.1984;50;12;0.5;1985
01.01.1985;49;1;0.49;1985
02.01.1985;59;1;0.59;1985
03.01.1985;66;1;0.66;1985
04.01.1985;66;1;0.66;1985
05.01.1985;68;1;0.68;1985
06.01.1985;66;1;0.66;1985
07.01.1985;65;1;0.65;1985
08.01.1985;63;1;0.63;1985
09.01.1985;62;1;0.62;1985
10.01.1985;61;1;0.61;1985
11.01.1985;61;1;0.61;1985
12.01.1985;61;1;0.61;1985
13.01.1985;60;1;0.6;1985
14.01.1985;60;1;0.6;1985
15.01.1985;60;1;0.6;1985
16.01.1985;59;1;0.59;1985
17.01.1985;59;1;0.59;1985
18.01.1985;58;1;0.58;1985
19.01.1985;57;1;0.57;1985
20.01.1985;63;1;0.63;1985
21.01.1985;63;1;0.63;1985
22.01.1985;60;1;0.6;1985
23.01.1985;55;1;0.55;1985
24.01.1985;73;1;0.73;1985
25.01.1985;70;1;0.7;1985
26.01.1985;67;1;0.67;1985
27.01.1985;67;1;0.67;1985
28.01.1985;75;1;0.75;1985
29.01.1985;75;1;0.75;1985
30.01.1985;72;1;0.72;1985
31.01.1985;77;1;0.77;1985
01.02.1985;97;2;0.97;1985
02.02.1985;97;2;0.97;1985
03.02.1985;97;2;0.97;1985
04.02.1985;92;2;0.92;1985
05.02.1985;90;2;0.9;1985
06.02.1985;90;2;0.9;1985
07.02.1985;107;2;1.07;1985
08.02.1985;105;2;1.05;1985
09.02.1985;103;2;1.03;1985
10.02.1985;100;2;1;1985
11.02.1985;102;2;1.02;1985
12.02.1985;106;2;1.06;1985
13.02.1985;104;2;1.04;1985
14.02.1985;115;2;1.15;1985
15.02.1985;128;2;1.28;1985
16.02.1985;130;2;1.3;1985
17.02.1985;123;2;1.23;1985
18.02.1985;120;2;1.2;1985
19.02.1985;119;2;1.19;1985
20.02.1985;119;2;1.19;1985
21.02.1985;118;2;1.18;1985
22.02.1985;116;2;1.16;1985
23.02.1985;114;2;1.14;1985
24.02.1985;114;2;1.14;1985
25.02.1985;114;2;1.14;1985
26.02.1985;112;2;1.12;1985
27.02.1985;110;2;1.1;1985
28.02.1985;108;2;1.08;1985
01.03.1985;106;3;1.06;1985
02.03.1985;105;3;1.05;1985
03.03.1985;113;3;1.13;1985
04.03.1985;113;3;1.13;1985
05.03.1985;112;3;1.12;1985
06.03.1985;110;3;1.1;1985
07.03.1985;108;3;1.08;1985
08.03.1985;107;3;1.07;1985
09.03.1985;106;3;1.06;1985
10.03.1985;106;3;1.06;1985
11.03.1985;109;3;1.09;1985
12.03.1985;111;3;1.11;1985
13.03.1985;109;3;1.09;1985
14.03.1985;108;3;1.08;1985
15.03.1985;115;3;1.15;1985
16.03.1985;119;3;1.19;1985
17.03.1985;129;3;1.29;1985
18.03.1985;130;3;1.3;1985
19.03.1985;137;3;1.37;1985
